Date,Product,Category,Region,Quantity,Price,Sales
2023-11-07,Camera,Electronics,West,1,34606,34606
2023-05-13,Camera,Electronics,East,5,25574,127870
2023-02-22,Smartwatch,Accessories,South,2,55330,110660
2023-05-25,Smartwatch,Accessories,South,1,40765,40765
2023-01-01,Headphones,Accessories,North,5,59091,295455
2023-10-15,Phone,Electronics,West,2,51401,102802
2023-06-11,Camera,Electronics,South,3,30538,91614
2023-11-02,Tablet,Electronics,North,4,43348,173392
2023-08-10,Headphones,Accessories,North,1,55871,55871
2023-09-12,Printer,Office,East,5,41764,208820
2023-03-07,Headphones,Accessories,East,4,41649,166596
2023-10-21,Phone,Electronics,South,2,8941,17882
2023-12-01,Headphones,Accessories,East,2,19715,39430
2023-09-06,Camera,Electronics,North,4,6637,26548
2023-09-04,Phone,Electronics,East,1,53332,53332
2023-10-12,Tablet,Electronics,South,1,23833,23833
2023-09-30,Tablet,Electronics,West,5,29169,145845
2023-09-19,Smartwatch,Accessories,South,5,41037,205185
2023-08-23,Headphones,Accessories,West,3,53058,159174
2023-04-21,Laptop,Electronics,East,3,13637,40911
2023-01-08,Tablet,Electronics,West,4,44679,178716
2023-10-08,Headphones,Accessories,West,3,35434,106302
2023-04-03,Monitor,Electronics,South,5,57929,289645
2023-02-20,Headphones,Accessories,North,5,23969,119845
2023-04-02,Phone,Electronics,North,5,41749,208745
2023-01-01,Smartwatch,Accessories,North,4,20777,83108
2023-02-15,Phone,Electronics,North,2,48892,97784
2023-03-14,Phone,Electronics,North,1,45221,45221
2023-08-27,Monitor,Electronics,South,3,21262,63786
2023-02-17,Smartwatch,Accessories,North,2,15568,31136
2023-01-08,Laptop,Electronics,East,5,24195,120975
2023-07-26,Printer,Office,East,2,30699,61398
2023-03-19,Monitor,Electronics,South,5,41577,207885
2023-01-14,Headphones,Accessories,West,3,7126,21378
2023-01-03,Printer,Office,East,3,40638,121914
2023-10-01,Phone,Electronics,South,3,36674,110022
2023-01-15,Monitor,Electronics,North,5,12267,61335
2023-07-21,Printer,Office,North,1,31926,31926
2023-03-27,Phone,Electronics,South,4,6632,26528
2023-05-25,Smartwatch,Accessories,West,1,44563,44563
2023-03-08,Laptop,Electronics,North,2,28734,57468
2023-08-16,Printer,Office,South,2,14910,29820
2023-09-21,Monitor,Electronics,North,4,8738,34952
2023-02-11,Laptop,Electronics,North,4,56553,226212
2023-11-16,Phone,Electronics,East,3,19260,57780
2023-08-17,Laptop,Electronics,North,5,29285,146425
2023-10-04,Camera,Electronics,South,4,13613,54452
2023-11-27,Camera,Electronics,South,1,15046,15046
2023-08-31,Printer,Office,West,5,12787,63935
2023-08-11,Camera,Electronics,South,4,16043,64172
2023-03-16,Tablet,Electronics,East,1,48685,48685
2023-03-03,Laptop,Electronics,South,3,15703,47109
2023-01-26,Headphones,Accessories,North,4,8469,33876
2023-04-28,Tablet,Electronics,East,4,51376,205504
2023-01-20,Laptop,Electronics,West,1,41001,41001
2023-05-22,Monitor,Electronics,South,5,3917,19585
2023-05-19,Printer,Office,West,5,53178,265890
2023-09-16,Laptop,Electronics,South,2,2009,4018
2023-09-18,Printer,Office,South,4,41809,167236
2023-01-13,Monitor,Electronics,South,4,10512,42048
2023-11-15,Smartwatch,Accessories,North,1,53976,53976
2023-02-07,Printer,Office,East,1,19988,19988
2023-11-14,Tablet,Electronics,West,2,3908,7816
2023-05-17,Phone,Electronics,West,3,53712,161136
2023-10-23,Monitor,Electronics,South,4,7951,31804
2023-12-15,Monitor,Electronics,East,1,57565,57565
2023-11-12,Camera,Electronics,East,5,17524,87620
2023-01-05,Headphones,Accessories,East,2,22611,45222
2023-03-30,Smartwatch,Accessories,South,1,45303,45303
2023-11-24,Printer,Office,West,3,9804,29412
2023-12-19,Printer,Office,East,1,21096,21096
2023-05-25,Laptop,Electronics,East,2,20381,40762
2023-11-05,Monitor,Electronics,West,3,13302,39906
2023-07-17,Camera,Electronics,East,3,26519,79557
2023-02-11,Monitor,Electronics,West,5,7408,37040
2023-08-19,Headphones,Accessories,West,5,12789,63945
2023-04-07,Smartwatch,Accessories,North,3,19334,58002
2023-10-16,Camera,Electronics,West,2,34265,68530
2023-01-05,Headphones,Accessories,South,1,48197,48197
2023-10-21,Smartwatch,Accessories,East,4,8359,33436
2023-07-03,Printer,Office,North,5,16382,81910
2023-11-20,Tablet,Electronics,North,2,50538,101076
2023-04-05,Headphones,Accessories,East,4,35561,142244
2023-10-26,Headphones,Accessories,North,4,14298,57192
2023-09-11,Phone,Electronics,West,2,12541,25082
2023-12-29,Tablet,Electronics,South,5,9783,48915
2023-07-29,Laptop,Electronics,North,4,29306,117224
2023-12-22,Monitor,Electronics,West,5,55028,275140
2023-11-24,Printer,Office,South,1,43563,43563
2023-10-14,Phone,Electronics,North,3,41964,125892
2023-10-23,Laptop,Electronics,South,3,15718,47154
2023-09-14,Camera,Electronics,North,5,38185,190925
2023-04-20,Tablet,Electronics,South,1,37840,37840
2023-11-15,Camera,Electronics,East,3,56183,168549
2023-05-29,Printer,Office,North,5,33880,169400
2023-07-21,Tablet,Electronics,North,5,34409,172045
2023-10-18,Printer,Office,West,1,36393,36393
2023-03-16,Camera,Electronics,South,2,10666,21332
2023-12-13,Laptop,Electronics,West,3,43914,131742
2023-12-30,Headphones,Accessories,East,1,3990,3990
2023-06-29,Camera,Electronics,North,1,57472,57472
2023-10-12,Printer,Office,East,2,12395,24790
2023-02-18,Printer,Office,North,4,21816,87264
2023-06-26,Tablet,Electronics,South,4,23566,94264
2023-07-08,Monitor,Electronics,North,1,3759,3759
2023-05-21,Camera,Electronics,East,3,26442,79326
2023-07-30,Camera,Electronics,West,5,29952,149760
2023-10-13,Monitor,Electronics,West,3,20449,61347
2023-09-14,Camera,Electronics,East,2,30865,61730
2023-04-23,Phone,Electronics,South,3,56078,168234
2023-05-12,Laptop,Electronics,West,5,14342,71710
2023-12-25,Headphones,Accessories,West,2,36249,72498
2023-06-11,Tablet,Electronics,North,4,28399,113596
2023-06-27,Printer,Office,North,1,47368,47368
2023-09-04,Headphones,Accessories,West,3,51148,153444
2023-11-24,Camera,Electronics,North,5,8722,43610
2023-02-20,Laptop,Electronics,West,2,9970,19940
2023-04-06,Monitor,Electronics,South,3,14175,42525
2023-06-14,Camera,Electronics,North,2,8150,16300
2023-11-26,Printer,Office,North,5,55394,276970
2023-04-22,Smartwatch,Accessories,East,4,52460,209840
2023-07-07,Phone,Electronics,South,1,25236,25236
2023-01-11,Phone,Electronics,East,2,31378,62756
2023-04-29,Tablet,Electronics,West,5,35572,177860
